Time_s,Current_A,V_model,SoC_model,V_rc,y1,y2
0.0,3.0,3.9148517477939433,0.9998515595443962,0.046923315203682946,4407.69442622413,2939.1901086808184
0.3635789323655638,3.0,3.877307833169008,0.9997031190887925,0.08346722982861758,4406.604711451211,2939.189086656641
0.7271578647311276,3.0,3.847847403842615,0.9995546786331888,0.11192765915501124,4405.516016308369,2939.1870450023866
1.0907367970966915,3.0,3.8256823991966713,0.9994062381775849,0.134092663800955,4404.428338407111,2939.1839861065478
1.4543157294622553,3.0,3.8074202762216287,0.9992577977219811,0.1513547867759973,4403.341675364541,2939.1799123520213
1.8178946618278191,3.0,3.793976521331191,0.9991093572663774,0.16479854166643518,4402.256024803342,2939.174826116123
2.181473594193383,3.0,3.7835065144950977,0.9989609168107737,0.1752685485025282,4401.17138435177,2939.168729770599
2.5450525265589468,3.0,3.774352464972386,0.9988124763551698,0.18342259802524044,4400.087751643632,2939.16162568164
2.9086314589245106,3.0,3.7680020848188946,0.9986640358995661,0.18977297817873173,4399.005124318282,2939.153516209894
3.2722103912900744,3.0,3.7630564037825547,0.9985155954439623,0.19471865921507187,4397.9235000206,2939.1444037104784
3.6357893236556382,3.0,3.758204703518631,0.9983671549883585,0.19857035947899496,4396.842876400987,2939.134290532995
3.999368256021202,3.0,3.7552049963369316,0.9982187145327547,0.2015700666606946,4395.763251115345,2939.12317902154
4.362947188386766,3.0,3.7528688220348387,0.9980702740771511,0.2039062409627872,4394.6846218250685,2939.11107151472
4.72652612075233,3.0,3.7510494076589778,0.9979218336215472,0.2057256553386482,4393.606986197029,2939.097970345663
5.0901050531178935,3.0,3.7486324463183256,0.9977733931659435,0.20714261667930012,4392.5303419035645,2939.0838778420307
5.453683985483457,3.0,3.7475289157166443,0.9976249527103396,0.20824614728098173,4391.454686622465,2939.0687963260334
5.817262917849021,3.0,3.746669485219911,0.9974765122547358,0.20910557777771463,4390.38001803696,2939.0527281144414
6.180841850214585,3.0,3.74600016007606,0.9973280717991321,0.20977490292156567,4389.306333835707,2939.0356755185976
