Cycle,Date,Re,Rct
40,2008-04-18 20:55:29,0.04466870036616091,0.06945627304536996
42,2008-04-18 22:39:16,0.04668700162486933,0.07627474098530587
44,2008-04-19 02:14:27,0.044843430573346096,0.0679720560130687
46,2008-04-19 03:57:24,0.04619468955099375,0.07453388918437964
48,2008-04-19 07:32:33,0.04510114851143001,0.06852832896000328
50,2008-04-19 09:15:10,0.04599074473076839,0.07342664108773311
52,2008-04-19 12:47:00,0.044172075577171746,0.06804449516996176
54,2008-04-19 14:28:58,0.0452171085992494,0.07464778408413367
56,2008-04-19 18:12:47,0.043786628196075913,0.06845021227072765
58,2008-04-19 19:55:05,0.04490994541365791,0.07395687603254197
60,2008-04-19 23:27:13,0.04463932198878524,0.0683410113732366
62,2008-04-20 01:08:11,0.04717044086931744,0.07208112164479205
64,2008-04-20 04:39:59,0.043558785775475374,0.06868237655872211
66,2008-04-20 06:20:57,0.04648969708635643,0.07102909339339247
68,2008-04-20 10:01:46,0.04526547818261783,0.0681437253042456
70,2008-04-20 11:42:26,0.0463622366817154,0.07193029860543036
72,2008-04-20 15:22:22,0.044483715777434665,0.06782555719716843
74,2008-04-20 17:03:01,0.04482791300205649,0.07288826952758304
76,2008-04-20 20:35:56,0.04441416485910045,0.06885805241213436
78,2008-04-20 22:16:35,0.04466450679894579,0.0727868237536811
80,2008-04-21 02:00:19,0.04453544590029642,0.06779434699116274
82,2008-04-21 03:26:58,0.04502135245555801,0.06940408185539676
86,2008-04-22 16:33:03,0.04610646564263781,0.07041083307756363
88,2008-04-22 19:54:32,0.04646251600050638,0.06993774302336724
90,2008-04-22 21:24:34,0.04766732499763113,0.06870142026856427
92,2008-04-23 00:46:24,0.04772385451119983,0.06950417544214327
94,2008-04-23 02:16:08,0.04786769518725868,0.06782851501053842
96,2008-04-23 05:46:32,0.04694022963323793,0.069661211991841
98,2008-04-23 07:16:07,0.045613419083722975,0.0690386303340568
100,2008-04-23 10:36:13,0.04702798243208013,0.07112946749607083
102,2008-04-23 12:05:30,0.04672887233883059,0.06971129972921941
104,2008-04-23 15:34:37,0.047755380262671634,0.07167079612312527
106,2008-04-23 17:03:55,0.04691622519628201,0.06913343554751465
108,2008-04-23 20:31:10,0.047022939446838434,0.06976696183555635
110,2008-04-23 22:00:19,0.046604793185003,0.06852215228822905
112,2008-04-24 01:19:46,0.046245370477528074,0.0719248993978976
114,2008-04-24 02:48:35,0.04683293993011124,0.06946896899621643
116,2008-04-24 06:18:12,0.04618610336751238,0.07193787056034481
118,2008-04-24 07:46:53,0.04624136663986422,0.06934916902797013
120,2008-04-24 11:17:36,0.04773737014313117,0.0703395836124857
122,2008-04-24 12:46:08,0.049427483436388156,0.0695498357572787
124,2008-04-24 16:14:07,0.04838334154876506,0.06973812701544792
126,2008-04-24 17:42:40,0.04747841688797767,0.06488297170955903
128,2008-04-24 21:06:22,0.048037510039299486,0.07012511424776673
130,2008-04-24 22:34:45,0.047703621105183044,0.06859813037774799
132,2008-04-25 01:57:07,0.048086960073381944,0.0697134641311117
136,2008-04-25 21:00:31,0.04815104655957722,0.06772207819825936
138,2008-04-26 00:32:46,0.04754728174038817,0.07318009891168203
140,2008-04-26 02:00:52,0.04759013382319219,0.06914272874669278
142,2008-04-26 05:25:46,0.04764092098948851,0.07165247326552959
144,2008-04-26 06:53:34,0.04764024061757782,0.06898277923910441
146,2008-04-26 10:26:36,0.04842436953177311,0.07249983749010006
150,2008-04-29 13:12:54,0.04893386185534073,0.06795990180113623
152,2008-04-29 16:33:38,0.04943074564871873,0.0701407541984291
154,2008-04-29 18:02:21,0.049323007176718225,0.06895642914528509
156,2008-04-29 21:28:15,0.04974822543014387,0.07112993844977841
158,2008-04-29 22:56:30,0.04912202877042455,0.06890956847456893
160,2008-04-30 02:12:05,0.04988486594475391,0.07198302765125617
162,2008-04-30 03:40:03,0.047859449246718755,0.06977255608528674
164,2008-04-30 07:09:52,0.04921638093217895,0.07146374397937286
166,2008-04-30 08:37:42,0.04887229013423192,0.06876809153866811
168,2008-04-30 11:56:59,0.04994593893656341,0.07088704261645878
170,2008-04-30 13:24:39,0.048296439195350184,0.0673151471016695
172,2008-04-30 16:48:25,0.048969605147940264,0.07178168505217358
174,2008-04-30 18:16:07,0.04814709226602492,0.0684158918231915
176,2008-04-30 21:43:03,0.05022937602514056,0.0718319241428618
178,2008-04-30 23:10:36,0.04845430020206581,0.06777935051052719
180,2008-05-01 02:43:42,0.04971526662508074,0.07139027154395669
182,2008-05-01 04:11:07,0.04868025293328389,0.06583444846364324
184,2008-05-01 07:44:12,0.04913216601843565,0.0724518691988788
186,2008-05-01 09:11:27,0.049918728983506716,0.06876463309502395
188,2008-05-01 12:42:34,0.04920968322529824,0.07304025099509703
190,2008-05-01 14:09:50,0.04943664953959982,0.06892300885560772
192,2008-05-01 17:39:20,0.04950631616559385,0.07251082944035009
194,2008-05-01 19:06:26,0.04940333988784369,0.06864846238725138
196,2008-05-01 22:38:24,0.04865176277959679,0.07201762091170956
198,2008-05-02 00:05:31,0.04915501980244644,0.06913086863703587
200,2008-05-02 03:21:43,0.04916575568371288,0.07316993618002728
202,2008-05-02 04:48:33,0.04870161283727027,0.06859455507457586
204,2008-05-02 08:12:49,0.04923427342088277,0.07277120733743579
206,2008-05-02 09:39:40,0.04885677345766941,0.06871570767989431
208,2008-05-02 13:11:13,0.0505475864921389,0.07270866794574943
210,2008-05-02 14:37:55,0.0506497585783765,0.06853536104799454
212,2008-05-02 18:11:03,0.050118814742107526,0.07301041089661342
216,2008-05-03 00:18:59,0.04913242687695094,0.0693303248319639
218,2008-05-03 03:41:16,0.049792567319026114,0.07343650361620202
220,2008-05-03 05:07:41,0.049633135916243465,0.06881429671018138
222,2008-05-03 08:38:27,0.049865378066600005,0.0732133898164959
224,2008-05-03 10:04:43,0.048921290356402275,0.06883931362761586
226,2008-05-03 13:32:41,0.049811932785538866,0.07459618605206403
228,2008-05-03 14:58:49,0.04975125749803476,0.06863892419996058
230,2008-05-03 18:26:20,0.04850673488997184,0.07458309776342148
232,2008-05-03 19:52:28,0.04915918196298162,0.06906734479973246
234,2008-05-03 23:10:37,0.050023074203339506,0.0736638387977965
236,2008-05-04 00:36:36,0.04970808709656559,0.06830006146095657
238,2008-05-04 04:09:47,0.05020469043786587,0.07371885821597624
240,2008-05-04 05:35:36,0.048950660803835325,0.06963267386152323
242,2008-05-04 09:08:18,0.04975857340773159,0.07465617760875586
244,2008-05-04 10:34:08,0.049808396255372756,0.06902298762939403
246,2008-05-04 14:06:20,0.04968675503783295,0.07355425821939737
248,2008-05-04 15:32:01,0.05059411389974348,0.06858328460478416
250,2008-05-04 19:05:14,0.04995005707049774,0.0746229428074614
